Producto,Codigo,Precio venta,Existencia,Marca,costo compra
Set de ollas antiadherentes 5 piezas,HOG-001,39990,7,Tramontina,24000
Sartén antiadherente 24cm,HOG-002,12990,15,Tramontina,7500
Juego de cuchillos cocina,HOG-003,8990,0,Genérico,9500
Termo acero inoxidable 1L,HOG-004,9990,20,Stanley,5200
Licuadora 600W,HOG-005,,5,Oster,18000
Hervidor eléctrico 1.7L,HOG-006,14990,12,,8000
Tostadora 2 rebanadas,HOG-007,13990,,Oster,9000
Plancha a vapor,HOG-008,16990,9,Philips,
Batidora de mano,HOG-009,11990,14,Oster,6500
Cafetera de goteo,HOG-010,19990,3,Oster,13500
,HOG-011,5990,8,Genérico,3000
